photo_path,ocr,category,time_ocr
pic/ocr/2024-08-22/B1931TYP_Masuk_2024-08-22-084010.jpeg,B1931TYP,Masuk,2024-08-22 08:40:09
pic/ocr/2024-08-22/B1931TYP_Keluar_2024-08-22-091946.jpeg,B1931TYP,Keluar,2024-08-22 09:19:46
pic/ocr/2024-08-22/B2551FVI_Masuk_2024-08-22-130141.jpeg,B2551FVI,Masuk,2024-08-22 13:01:40
pic/ocr/2024-08-22/B1155KKY_Masuk_2024-08-22-131454.jpeg,B1155KKY,Masuk,2024-08-22 13:14:53
pic/ocr/2024-08-22/B2497TOH_Masuk_2024-08-22-140034.jpeg,B2497TOH,Masuk,2024-08-22 14:00:34
pic/ocr/2024-08-22/B1931TYP_Masuk_2024-08-22-140103.jpeg,B1931TYP,Masuk,2024-08-22 14:01:02
pic/ocr/2024-08-22/B2497TOH_Keluar_2024-08-22-140201.jpeg,B2497TOH,Keluar,2024-08-22 14:02:01
pic/ocr/2024-08-22/B2497TOH_Masuk_2024-08-22-143225.jpeg,B2497TOH,Masuk,2024-08-22 14:32:20
pic/ocr/2024-08-22/B9397UEM_Masuk_2024-08-22-143322.jpeg,B9397UEM,Masuk,2024-08-22 14:33:18
pic/ocr/2024-08-22/B9397UEM_Keluar_2024-08-22-143808.jpeg,B9397UEM,Keluar,2024-08-22 14:38:05
pic/ocr/2024-08-22/B9397UEM_Masuk_2024-08-22-144103.jpeg,B9397UEM,Masuk,2024-08-22 14:40:59
pic/ocr/2024-08-22/B9872UEK_Masuk_2024-08-22-144118.jpeg,B9872UEK,Masuk,2024-08-22 14:41:14
pic/ocr/2024-08-22/B1931TYP_Keluar_2024-08-22-144752.jpeg,B1931TYP,Keluar,2024-08-22 14:47:48
pic/ocr/2024-08-22/B2817KFK_Masuk_2024-08-22-150919.jpeg,B2817KFK,Masuk,2024-08-22 15:09:16
pic/ocr/2024-08-22/B1974KFM_Masuk_2024-08-22-151751.jpeg,B1974KFM,Masuk,2024-08-22 15:17:47
pic/ocr/2024-08-22/B1730KFH_Masuk_2024-08-22-152410.png,B1730KFH,Masuk,2024-08-22 15:24:06
pic/ocr/2024-08-22/B9591QZ_Masuk_2024-08-22-152806.jpeg,B9591QZ,Masuk,2024-08-22 15:28:02
pic/ocr/2024-08-22/B9591QZ_Keluar_2024-08-22-153009.jpeg,B9591QZ,Keluar,2024-08-22 15:30:05
pic/ocr/2024-08-22/B9872UEK_Keluar_2024-08-22-153403.jpeg,B9872UEK,Keluar,2024-08-22 15:33:59
pic/ocr/2024-08-22/B9872UEK_Masuk_2024-08-22-153415.jpeg,B9872UEK,Masuk,2024-08-22 15:34:11
pic/ocr/2024-08-22/B9872UEK_Keluar_2024-08-22-155024.jpeg,B9872UEK,Keluar,2024-08-22 15:50:20
pic/ocr/2024-08-22/B9397UEM_Keluar_2024-08-22-160253.jpeg,B9397UEM,Keluar,2024-08-22 16:02:48
pic/ocr/2024-08-22/B9397UEM_Masuk_2024-08-22-160313.jpeg,B9397UEM,Masuk,2024-08-22 16:03:07
pic/ocr/2024-08-22/B9397UEM_Keluar_2024-08-22-160324.jpeg,B9397UEM,Keluar,2024-08-22 16:03:19
pic/ocr/2024-08-22/B9591QZ_Masuk_2024-08-22-160430.jpeg,B9591QZ,Masuk,2024-08-22 16:04:25
pic/ocr/2024-08-22/B9591QZ_Keluar_2024-08-22-160506.jpeg,B9591QZ,Keluar,2024-08-22 16:05:01
pic/ocr/2024-08-22/B2817KFK_Keluar_2024-08-22-160636.jpeg,B2817KFK,Keluar,2024-08-22 16:06:31
pic/ocr/2024-08-22/B9397UEM_Masuk_2024-08-22-162955.jpeg,B9397UEM,Masuk,2024-08-22 16:29:50
pic/ocr/2024-08-22/B9397UEM_Keluar_2024-08-22-163025.jpeg,B9397UEM,Keluar,2024-08-22 16:30:21
pic/ocr/2024-08-22/Z9273MG_Masuk_2024-08-22-164410.jpeg,Z9273MG,Masuk,2024-08-22 16:44:05
pic/ocr/2024-08-22/Z9273MG_Keluar_2024-08-22-164449.jpeg,Z9273MG,Keluar,2024-08-22 16:44:44
