photo_path,ocr,category,time_ocr
pic/ocr/2024-08-23/B9602KCA_Masuk_2024-08-23-124254.jpeg,B9602KCA,Masuk,2024-08-23 12:42:48
pic/ocr/2024-08-23/B9602KCA_Keluar_2024-08-23-124323.jpeg,B9602KCA,Keluar,2024-08-23 12:43:19
pic/ocr/2024-08-23/B2817KFK_Masuk_2024-08-23-134121.jpeg,B2817KFK,Masuk,2024-08-23 13:41:15
pic/ocr/2024-08-23/B2817KFK_Keluar_2024-08-23-134148.jpeg,B2817KFK,Keluar,2024-08-23 13:41:43
pic/ocr/2024-08-23/B2817KFK_Masuk_2024-08-23-134243.jpeg,B2817KFK,Masuk,2024-08-23 13:42:38
pic/ocr/2024-08-23/B2817KFK_Keluar_2024-08-23-134258.jpeg,B2817KFK,Keluar,2024-08-23 13:42:53
