photo_path,ocr,category,time_ocr
pic/ocr/2024-08-16/B4299KNL_Masuk_2024-08-16-075529.jpeg,B4299KNL,Masuk,2024-08-16 07:55:28
pic/ocr/2024-08-16/B4299KNL_Masuk_2024-08-16-103825.jpeg,B4299KNL,Masuk,2024-08-16 10:38:25
pic/ocr/2024-08-16/84299KNL_Keluar_2024-08-16-103850.jpeg,84299KNL,Keluar,2024-08-16 10:38:49
pic/ocr/2024-08-16/B4299KNL_Masuk_2024-08-16-104159.jpeg,B4299KNL,Masuk,2024-08-16 10:41:59
pic/ocr/2024-08-16/B4299KNL_Keluar_2024-08-16-104211.jpeg,B4299KNL,Keluar,2024-08-16 10:42:11
pic/ocr/2024-08-16/B2817KFK_Keluar_2024-08-16-104653.jpeg,B2817KFK,Keluar,2024-08-16 10:46:53
pic/ocr/2024-08-16/B2817KFK_Masuk_2024-08-16-113439.jpeg,B2817KFK,Masuk,2024-08-16 11:34:38
pic/ocr/2024-08-16/B2817KFK_Keluar_2024-08-16-141142.jpeg,B2817KFK,Keluar,2024-08-16 14:11:42
