ocr,category,time_ocr
B1931TYP,Masuk,2024-09-05 09:56:29
B1730KFH,Keluar,2024-09-05 09:58:34
B730KFH,Masuk,2024-09-05 09:59:06
B1730KFH,Masuk,2024-09-05 10:25:17
B1730KFH,Keluar,2024-09-05 10:58:10
B1730KFH,Masuk,2024-09-05 10:58:24
B1730KFH,Keluar,2024-09-05 11:10:47
B1730KFH,Masuk,2024-09-05 11:12:06
B1730KFH,Keluar,2024-09-05 11:19:43
B1730KFH,Masuk,2024-09-05 11:19:58
B1730KFH,Keluar,2024-09-05 11:23:27
B1730KFH,Masuk,2024-09-05 11:27:45
B1730KFH,Keluar,2024-09-05 11:30:29
B1730KFH,Masuk,2024-09-05 11:30:40
B1730KFH,Keluar,2024-09-05 11:36:19
B1931TYP,Keluar,2024-09-05 11:37:22
B1931TYP,Masuk,2024-09-05 11:37:33
B1931TYP,Keluar,2024-09-05 11:37:48
B1730KFH,Masuk,2024-09-05 11:45:44
B1730KFH,Keluar,2024-09-05 11:46:01
B1730KFH,Masuk,2024-09-05 11:47:30
B1730KFH,Keluar,2024-09-05 11:49:03
B1730KFH,Masuk,2024-09-05 11:49:17
B1931TYP,Masuk,2024-09-05 11:55:26
B1730KFH,Keluar,2024-09-05 11:57:14
B1730KFH,Masuk,2024-09-05 11:57:45
B1931TYP,Keluar,2024-09-05 11:59:14
B1931TYP,Masuk,2024-09-05 11:59:26
B1931TYP,Keluar,2024-09-05 13:00:34
B1931TYP,Masuk,2024-09-05 13:00:47
B1931TYP,Keluar,2024-09-05 13:01:05
B1931TYP,Masuk,2024-09-05 13:47:57
B1931TYP,Keluar,2024-09-05 13:48:31
B1730KFH,Keluar,2024-09-05 14:33:40
B1730KFH,Masuk,2024-09-05 14:33:53
B1730KFH,Keluar,2024-09-05 14:34:18
B1730KFH,Masuk,2024-09-06 08:59:44
B1730KFH,Keluar,2024-09-06 09:01:17
B1730KFH,Masuk,2024-09-06 09:09:48
B1730KFH,Masuk,2024-09-06 09:12:06
B1730KFH,Keluar,2024-09-06 09:12:35
B1730KFH,Masuk,2024-09-06 09:15:05
B1730KFH,Keluar,2024-09-06 09:15:26
B1730KFH,Masuk,2024-09-06 09:16:09
B1730KFH,Keluar,2024-09-06 09:16:24
B9602KCA,Masuk,2024-09-06 09:22:28
B1730KFH,Keluar,2024-09-06 09:30:06
B1730KFH,Keluar,2024-09-06 09:30:49
B9602KCA,Keluar,2024-09-06 09:32:50
B9602KCA,Keluar,2024-09-06 09:33:33
B9602KCA,Keluar,2024-09-06 09:35:45
B9602KCA,Keluar,2024-09-06 09:36:27
B9602KCA,Masuk,2024-09-06 09:38:49
B9602KCA,Keluar,2024-09-06 09:39:03
B9602KCA,Keluar,2024-09-06 09:40:43
Z9273MG,Masuk,2024-09-06 09:51:23
Z9273MG,Keluar,2024-09-06 09:52:08
Z9273MG,Keluar,2024-09-06 09:52:34
