photo_path,ocr,category,time_ocr
pic/ocr/2024-08-30/KY9457B_Masuk_2024-08-30-085252.jpeg,KY9457B,Masuk,2024-08-30 08:52:45
pic/ocr/2024-08-30/B9457KY_Masuk_2024-08-30-085732.jpeg,B9457KY,Masuk,2024-08-30 08:57:25
pic/ocr/2024-08-30/D8491NDF_Masuk_2024-08-30-092634.jpeg,D8491NDF,Masuk,2024-08-30 09:26:28
pic/ocr/2024-08-30/B9457KY_Keluar_2024-08-30-093807.jpeg,B9457KY,Keluar,2024-08-30 09:38:01
pic/ocr/2024-08-30/B9602KCA_Masuk_2024-08-30-094008.jpeg,B9602KCA,Masuk,2024-08-30 09:40:02
pic/ocr/2024-08-30/B9896YD_Masuk_2024-08-30-094438.jpeg,B9896YD,Masuk,2024-08-30 09:44:31
pic/ocr/2024-08-30/B9896YD_Keluar_2024-08-30-095231.jpeg,B9896YD,Keluar,2024-08-30 09:52:24
pic/ocr/2024-08-30/B9602KCA_Keluar_2024-08-30-095247.jpeg,B9602KCA,Keluar,2024-08-30 09:52:40
pic/ocr/2024-08-30/B9602KCA_Masuk_2024-08-30-095433.jpeg,B9602KCA,Masuk,2024-08-30 09:54:27
pic/ocr/2024-08-30/B9896YD_Masuk_2024-08-30-095454.jpeg,B9896YD,Masuk,2024-08-30 09:54:47
pic/ocr/2024-08-30/B9896YD_Keluar_2024-08-30-095721.jpeg,B9896YD,Keluar,2024-08-30 09:57:13
pic/ocr/2024-08-30/B9896YD_Masuk_2024-08-30-095909.jpeg,B9896YD,Masuk,2024-08-30 09:59:02
pic/ocr/2024-08-30/B9896YD_Keluar_2024-08-30-100401.jpeg,B9896YD,Keluar,2024-08-30 10:03:54
pic/ocr/2024-08-30/B9896YD_Masuk_2024-08-30-101713.jpeg,B9896YD,Masuk,2024-08-30 10:17:07
pic/ocr/2024-08-30/B9896YD_Keluar_2024-08-30-101811.jpeg,B9896YD,Keluar,2024-08-30 10:18:05
pic/ocr/2024-08-30/B9896YD_Masuk_2024-08-30-101835.jpeg,B9896YD,Masuk,2024-08-30 10:18:29
pic/ocr/2024-08-30/B9896YD_Keluar_2024-08-30-101914.jpeg,B9896YD,Keluar,2024-08-30 10:19:08
pic/ocr/2024-08-30/B9397UEM_Masuk_2024-08-30-102101.jpeg,B9397UEM,Masuk,2024-08-30 10:20:55
pic/ocr/2024-08-30/B9397UEM_Keluar_2024-08-30-102122.jpeg,B9397UEM,Keluar,2024-08-30 10:21:16
