photo_path,ocr,category,time_ocr
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-080711.png,B1730KFH,Masuk,2024-09-05 08:07:05
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-080733.png,B1730KFH,Keluar,2024-09-05 08:07:27
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-081703.png,B1730KFH,Keluar,2024-09-05 08:16:56
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-082125.png,B1730KFH,Keluar,2024-09-05 08:21:18
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-083512.jpeg,B1730KFH,Keluar,2024-09-05 08:35:06
pic/ocr/2024-09-05/B1931TYP_Keluar_2024-09-05-084149.jpeg,B1931TYP,Keluar,2024-09-05 08:41:43
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-084405.jpeg,B1730KFH,Keluar,2024-09-05 08:43:59
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-085157.jpeg,B1730KFH,Keluar,2024-09-05 08:51:50
pic/ocr/2024-09-05/B1931TYP_Keluar_2024-09-05-085957.jpeg,B1931TYP,Keluar,2024-09-05 08:59:51
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-090324.jpeg,B1730KFH,Keluar,2024-09-05 09:03:18
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-091535.jpeg,B1730KFH,Keluar,2024-09-05 09:15:29
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-092036.jpeg,B1730KFH,Keluar,2024-09-05 09:20:30
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-092347.jpeg,B1730KFH,Keluar,2024-09-05 09:23:41
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-092631.jpeg,B1730KFH,Keluar,2024-09-05 09:26:25
pic/ocr/2024-09-05/B9602KCA_Keluar_2024-09-05-093036.jpeg,B9602KCA,Keluar,2024-09-05 09:30:30
pic/ocr/2024-09-05/B9602KCA_Masuk_2024-09-05-093055.jpeg,B9602KCA,Masuk,2024-09-05 09:30:49
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-093651.jpeg,B1730KFH,Keluar,2024-09-05 09:36:45
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-093706.jpeg,B1730KFH,Masuk,2024-09-05 09:36:59
pic/ocr/2024-09-05/B9602KCA_Keluar_2024-09-05-093920.jpeg,B9602KCA,Keluar,2024-09-05 09:39:13
pic/ocr/2024-09-05/B9602KCA_Masuk_2024-09-05-093938.jpeg,B9602KCA,Masuk,2024-09-05 09:39:31
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-094000.jpeg,B1730KFH,Keluar,2024-09-05 09:39:54
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-094014.jpeg,B1730KFH,Masuk,2024-09-05 09:40:08
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-094744.jpeg,B1730KFH,Keluar,2024-09-05 09:47:37
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-094758.jpeg,B1730KFH,Masuk,2024-09-05 09:47:51
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-094951.jpeg,B1730KFH,Keluar,2024-09-05 09:49:45
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-095340.jpeg,B1730KFH,Keluar,2024-09-05 09:53:34
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-095436.jpeg,B1730KFH,Keluar,2024-09-05 09:54:30
pic/ocr/2024-09-05/B1931TYP_Keluar_2024-09-05-095511.jpeg,B1931TYP,Keluar,2024-09-05 09:55:05
pic/ocr/2024-09-05/B1931TYP_Masuk_2024-09-05-095635.jpeg,B1931TYP,Masuk,2024-09-05 09:56:29
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-095841.jpeg,B1730KFH,Keluar,2024-09-05 09:58:34
pic/ocr/2024-09-05/B730KFH_Masuk_2024-09-05-095912.jpeg,B730KFH,Masuk,2024-09-05 09:59:06
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-102524.jpeg,B1730KFH,Masuk,2024-09-05 10:25:17
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-105816.jpeg,B1730KFH,Keluar,2024-09-05 10:58:10
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-105830.jpeg,B1730KFH,Masuk,2024-09-05 10:58:24
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-111053.jpeg,B1730KFH,Keluar,2024-09-05 11:10:47
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-111211.jpeg,B1730KFH,Masuk,2024-09-05 11:12:06
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-111950.jpeg,B1730KFH,Keluar,2024-09-05 11:19:43
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-112004.jpeg,B1730KFH,Masuk,2024-09-05 11:19:58
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-112333.jpeg,B1730KFH,Keluar,2024-09-05 11:23:27
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-112751.jpeg,B1730KFH,Masuk,2024-09-05 11:27:45
pic/ocr/2024-09-05/B1730KFH_Keluar_2024-09-05-113035.jpeg,B1730KFH,Keluar,2024-09-05 11:30:29
pic/ocr/2024-09-05/B1730KFH_Masuk_2024-09-05-113045.jpeg,B1730KFH,Masuk,2024-09-05 11:30:40
